,index,City,Location,Job,Company,Summary,Salary,Salary_Class
0,18,New+York,"New York, NY",HRIS Analyst,DEPT OF CITYWIDE ADMIN SVCS,Ensure integrity of employee data by performing data analysis and providing comprehensive reports to management and work on special projects as needed....,88226.0,1
1,34,New+York,"New York, NY",Computer Manager,POLICE DEPARTMENT,The operation of data processing hardware or consoles. A master's degree in computer science from an accredited college and three years of progressively more...,102507.0,1
2,58,New+York,"Brooklyn, NY 11236 (Canarsie area)",Messaging Specialist (O365/SharePoint),New York City Department of Education .,"A baccalaureate degree from an accredited college, including or supplemented by 24 semester credits in computer science or a related computer field and two (2)...",85821.0,1
3,73,New+York,"Brooklyn, NY 11236 (Canarsie area)",Lead ETL Data Exchange Developer,New York City Department of Education .,"Promotes data sharing, data consistency, and data reusability. Experience in conventional data warehousing, near real time data warehousing, data distribution...",92066.0,1
4,92,New+York,"Manhattan, NY",Field Scientist,DEPT OF PARKS & RECREATION,"Compile, analyze and interpret data and present results. Strong GIS, spatial and statistical analysis and data management skills....",62693.0,0
5,103,New+York,"New York, NY",Junior Data Scientist,Oliver James Associates,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Experience with command-line scripting, data structures and...",110500.0,1
6,106,New+York,"Manhattan, NY","Environmental Analyst, Bureau of Environmental Surveillance and Policy",DEPT OF HEALTH/MENTAL HYGIENE,Working with analytics team members to improve data quality and report tracking. Completing quality assurance review and documentation for routine and custom...,78790.5,1
7,118,New+York,"Manhattan, NY",Agency Data Steward,DEPARTMENT OF FINANCE,Ensure all users adhere to specific data standards and lead data quality improvement projects across the organization. Experience with large data domains....,103530.0,1
8,121,New+York,"New York, NY",Education Analyst,TAXI & LIMOUSINE COMMISSION,Quantitative data analysis:. Ability to analyze and manipulate data is a must. Secretary of Education and the Council for Higher Education Accreditation (CHEA)...,57407.5,0
9,126,New+York,"New York, NY",Data Scientist - Modeling,Harnham,"Essentially you will have one to three years experience in data engineering or data science preferably using Python, Java or Scala....",125000.0,1
10,133,New+York,"New York, NY",Scala/Big Data Developer,Jobspring Partners,Understanding of big data technologies. BS/MS in Computer Science or related field. An international eCommerce giant is looking to hire a Scala/Big Data...,175000.0,1
11,179,New+York,"New York, NY",Research Assistant - Obesity,Columbia University,"Perform data entry and maintains detailed study files. The Research Assistant will perform data collection, schedule participants visits and study tests between...",46072.0,0
12,191,New+York,"New York, NY 10118 (Chelsea area)",Associate,Human Rights Watch,"A bachelor’s degree in human rights, international relations, social science, or a related field is required....",27090.0,0
13,205,New+York,"New York, NY 10018 (Clinton area)",Data Engineer,Princeton Consulting,"Data is integral to how this multi-billion dollar investment firm makes their decisions, with a significant amount of data to work with....",185000.0,1
14,222,New+York,"Manhattan, NY",COMPUTER SYSTEMS MANAGER,DEPT OF YOUTH & COMM DEV SRVS,The operation of data processing hardware or consoles. A master's degree in computer science from an accredited college and three years of progressively more...,86717.5,1
15,227,New+York,"New York, NY","Public Health Advisor, Bureau of HIV/AIDS Prevention and Control",DEPT OF HEALTH/MENTAL HYGIENE,"Interviewing, conducting field investigations, assessing health risks, making referrals, or collecting and analyzing epidemiological data;...",49295.0,0
16,236,New+York,"Brooklyn, NY 11206 (Williamsburg area)",PUBLIC/PRIVATE INITIATIVES ANALYST,OFFICE OF EMERGENCY MANAGEMENT,"Data management experience a plus. A master’s degree from an accredited college in emergency management, public administration, urban planning, engineering,...",62000.0,0
17,238,New+York,"New York, NY",Big Data Platform Lead,3coast,"As the Big Data Platform Lead, you will define, architect and implement platform wide strategy that meets the needs of customer-facing applications, Data...",152500.0,1
18,265,New+York,"New York, NY",Data Analyst - Brand Experience Agency,Harnham,"Data Analyst - Brand Experience Agency. If so, our client is looking for a Data Analyst with an entrepreneurial mindset who will work alongside well-known...",85000.0,1
19,266,New+York,"New York, NY",Director of Leadership Pipeline Strategy,New York City Department of Education .,"Data, Evaluation, and Systems. Experience with data-based decision making and Continuous Improvement Science....",102788.0,1
20,294,New+York,"New York, NY",Project Associate,HOUSING PRESERVATION & DVLPMNT,"A graduate degree in the field of public administration, political science, urban studies, city planning, or a related field....",62500.0,0
21,312,New+York,"New York, NY 10279 (Financial District area)","Senior Research Associate, CIJ",Vera Institute of Justice,Survey construction and data analysis. Experience with qualitative interview techniques and data analysis. The Senior Research Associate will be responsible for...,92500.0,1
22,341,New+York,"New York, NY",ATU Investigator (Employee Discipline),New York City Department of Education .,"Assembles and verifies data, records, and evidence in response to inquiries from Corporation Counsel and outside counsel....",47099.0,0
23,373,New+York,"Manhattan, NY",DATA ANALYST,HRA/DEPT OF SOCIAL SERVICES,"The Data Analyst will:. Experience with data visualization techniques. Organizations to utilize new technological resources, encourage data sharing,....",59984.5,0
24,379,New+York,"New York, NY",Contracting Analyst,MetroPlus Health Plan,"MetroPlus utilizes SQL Server for pulling data. Present data analysis, and participate plan meetings as needed....",60500.0,0
25,398,New+York,"New York, NY",Post-doc Research Scientist,Research Foundation of The City University of New...,"Or an equivalent degree in environmental science, atmospheric science, exposure science, data science, engineering, environmental epidemiology or related...",62500.0,0
26,401,New+York,"New York, NY",Data Engineer at Video Streaming Company,Jobspring Partners,"BS/MS in Computer Science or related field. Collaboration is key, and you'll have the chance to partner with many different teams, like their Data Science and...",132500.0,1
27,404,New+York,"Manhattan, NY",Senior Analyst,MAYORS OFFICE OF CONTRACT SVCS,"Strong technical expertise regarding data models, database design development, data mining and segmentation techniques desired....",67500.0,0
28,426,New+York,"Manhattan, NY",Quality Assurance Analyst,DEPARTMENT OF TRANSPORTATION,A baccalaureate degree from an accredited college including or supplemented by 24 semester credits in computer science or a related computer field and one year...,73969.0,1
29,439,New+York,"Manhattan, NY","Senior Analyst, Labor Program Initiatives",MAYORS OFFICE OF CONTRACT SVCS,"Master's degree from an accredited college in economics, business or public administration, management science, operations research, organizational behavior,...",80000.0,1
30,446,New+York,"New York, NY",UNIX/Linux Engineer,DEPARTMENT OF SANITATION,"5+ years’ experience with installation, configuration, administration, and maintenance of UNIX/Solaris Redhat servers within a large data center environment;...",115513.0,1
31,448,New+York,"East Elmhurst, NY 11369",Founding 5th Grade Math Teacher,Forte Preparatory Academy Charter School,"We focus on creative and digital enrichment, remediation, and individualization based on data. Forte Prep is asking for founding General Education Teachers...",60000.0,0
32,467,Houston,"Sugar Land, TX 77479","DIRECTOR, STEM CURRICULUM AND INSTRUCTION",Fort Bend ISD,"Bachelor’s Degree in Mathematics, Science or Computer Science. Valid Texas Teacher Certification Math, Science, or Computer Science....",98990.0,1
33,469,Houston,"Houston, TX",Flow Cytometry Specialist I,Baylor College of Medicine,"Master degree in a chemical, biological or physical science. Participates in the presentation and publication of data and research results....",46831.0,0
34,472,Houston,"Houston, TX",Senior Research Scientist - Pediatrics Research,MD Anderson Cancer Center,"Model for data quantification. Exhibit broad understanding of data analysis. In Natural Science, related field or medical degree....",71500.0,0
35,492,Houston,"Houston, TX",Bioinformatics Programmer II,Baylor College of Medicine,"Bachelor's degree in Computer Science or Biological Sciences. Familiarity with biological data repositories such as the UCSC Genome Browser, NCBI, 1000 genomes,...",54460.0,0
36,498,Houston,"Houston, TX",TECHNICAL HARDWARE ANALYST II/TOD,"City of Houston, TX","Two (2) years of experience in the design, installation, operation and/or maintenance of a computerized data communications network or industrial control system...",51350.0,0
37,503,Houston,"Houston, TX",Research Coordinator II,Baylor College of Medicine,Collects and documents research data. Enters study data into a computerized database or case report form. The section has a broad portfolio of research and...,37384.5,0
38,539,Houston,"Houston, TX",Executive Assistant - International Business,Murray Resources,"Bachelor’s Degree in Economics, Political Science, Public Relations or similar degree. Prepare accurate and timely expense reports for travel and entertainment,...",45000.0,0
39,541,Houston,"Houston, TX",Software Developer,Murray Resources,Development and application of various computational approaches to the analysis and interpretation of sensor data to generate data products in a scalable...,75000.0,1
40,542,Houston,"Houston, TX",Senior Voice Engineer,Baylor College of Medicine,"Bachelor's Degree in Computer Science or related field. May develop budgetary information for voice, video, and data projects....",117000.0,1
41,568,Houston,"Houston, TX",Senior Research Assistant,Baylor College of Medicine,"Evaluates and analyzes data. Master's degree in a basic science or equivalent*. Performs complex, responsible research work of an advanced nature requiring high...",48826.0,0
42,576,Houston,"Houston, TX",Marketing Analyst,All-In Analytics,"Seeking a MS or PhD in a quantitative discipline with 7 plus years of experience in SAS, or R, SQL, statistical analysis, business intelligence tools, data...",105000.0,1
43,592,Houston,"Houston, TX","Teacher, Middle School STEM Lab",Sheldon Independent School District,"Analyze data to guide curriculum, instruction, interventions, and acceleration. Collaborate with district and campus staff to embed STEM experiences into a...",56500.0,0
44,611,Houston,"Houston, TX",Staff Scientist (Biocurator I),Baylor College of Medicine,These positions represent ideal opportunities for individuals wishing to developer a career path away from the bench in the emerging area of biomedical data...,60000.0,0
45,613,Houston,"Houston, TX",TECHNICAL HARDWARE ANALYST II / DWO,"City of Houston, TX",Diagnoses data communications system failures; Interfaces with vendors to resolve problems with various types of data communications facilities....,55120.0,0
46,617,Houston,"Houston, TX 77027 (River Oaks area)",Systems Analyst- SharePoint,Houston-Galveston Area Council,Bachelor’s Degree in Computer Science or Information Technology. The Houston-Galveston Area Council is seeking a SharePoint A nalyst to join our Data Services...,62143.0,0
47,630,Houston,"Houston, TX",UX Generalist,Clearpoint,"Familiar with data reporting tools (Omniture, Google Analytics). Degree in a relevant field - Design, English, Communications, Journalism, Computer Science,...",65000.0,0
48,695,Houston,"Sugar Land, TX 77479","COORDINATOR, ASSESSMENT DESIGN-SCIENCE (EC-5)",Fort Bend ISD,"Monitor and maintain student achievement data, including data from Response to Intervention (RtI) screeners, and provide regular updates to applicable...",84686.5,1
49,709,Houston,"Houston, TX",Director of Administrative Operations (GSBS),Baylor College of Medicine,National Science Foundation and Council of Graduate School) on an annual basis. Develops and utilizes automated systems for tracking data related to the...,82000.0,1
50,762,Houston,"Houston, TX 77024 (Greater Memorial area)",Sr. ETRM Developer,"JDA Professional Services, Inc."," Bachelor's degree in MIS, computer science or relevant field. Your primary responsibilities include creating integration solutions for ETRM related data,...",100000.0,1
51,775,Houston,"Houston, TX",Clinical Technical Lab Manager,Baylor College of Medicine,Degree in life sciences. Performs various clinical Andrology and high complexity laboratory tests and procedures and analyzes results....,75000.0,1
52,784,Houston,"Houston, TX",Marketing / Sales Rep,Murray Resources,"Must have strong technical background in earth sciences (geology, geologist/geophysicist). BS degree required ideally in Geology, Earth Sciences or something...",47500.0,0
53,785,Houston,"North Houston, TX",System Administrator,Burnett Specialists,"Data Platform is a big plus. BSc in computer science, engineering or equivalent experience in software and/or a technologically relevant field a big plus....",53000.0,0
54,816,Houston,"Sugar Land, TX",Public/Private Partnerships Manager,"City of Sugar Land, TX","Ability to gather, organize, evaluate and analyze data; Qualified applicant will have knowledge of budgeting and finance principles and practices, including...",72446.0,0
